"consulta_id","consulta","documentos_relevantes_esperados","categoria_esperada","motivo_relevancia","filtro_sql_sugerido"
"CON-01","¿Por qué se demora tanto el registro de nuevos experimentos durante los primeros días de cada mes?","DOC-008|DOC-009","oltp_olap","Describe exactamente el sintoma (lentitud al registrar experimentos) y su causa raiz (contencion de recursos), sin usar los terminos OLTP/OLAP: prueba que la busqueda semantica encuentra el par incidente-analisis aunque la consulta no use vocabulario tecnico.","WHERE d.categoria = 'oltp_olap' AND f.fecha_indexacion >= '2026-02-01'"
"CON-02","¿Qué información de la plataforma no puede salir de la organización bajo ninguna circunstancia?","DOC-003","infraestructura_despliegue","El documento formaliza una restriccion de residencia de datos sensibles (transacciones bancarias) sin necesidad de que la consulta mencione 'on-premise' o 'DS05' explicitamente.","WHERE d.categoria = 'infraestructura_despliegue' AND d.activo = TRUE"
"CON-03","Nos llegó una factura de cómputo en la nube mucho más alta de lo esperado, ¿alguien investigó por qué?","DOC-002","infraestructura_despliegue","El incidente describe una instancia elastica olvidada encendida sin usar palabras como 'factura' textualmente, sino 'consumo de computo' y 'costo incremental'.","WHERE d.categoria = 'infraestructura_despliegue' AND f.fecha_indexacion < '2026-02-01'"
"CON-04","¿Cómo podemos bajar lo que gastamos moviendo datos entre nuestros servidores y la nube?","DOC-030","big_data_costos","La propuesta habla de 'transferencia de datos entre el cluster propio y la capacidad cloud elastica' como reformulacion indirecta de costos de transferencia.","WHERE d.categoria = 'big_data_costos'"
"CON-05","Hay carpetas en el almacenamiento de las que nadie sabe quién las creó ni para qué sirven","DOC-016","data_lake","Es el ejemplo directo de 'archivos acumulados sin fecha, propietario ni descripcion' sin usar el termino 'data swamp'.","WHERE d.categoria = 'data_lake' AND d.activo = TRUE"
"CON-06","¿Estamos guardando archivos repetidos que ocupan espacio sin ninguna razón?","DOC-017|DOC-019","data_lake","Relaciona el hallazgo de duplicados exactos con la propuesta de limpieza posterior; comparte vocabulario con DOC-024 (duplicados en Bronce) pero pertenece a un problema distinto, util para mostrar falsos positivos de busqueda literal.","WHERE d.categoria = 'data_lake'"
"CON-07","Necesito entender qué diferencia hay entre el dato tal cual llega y el dato ya revisado y confiable","DOC-024|DOC-025","arquitectura_medallion","Formulacion indirecta de la diferencia entre capa Bronce y Plata sin nombrar esas capas en la consulta. El esquema minimo no tiene columna capa_medallion: el filtro solo acota por categoria y la distincion Bronce/Plata queda a cargo de la busqueda semantica.","WHERE d.categoria = 'arquitectura_medallion'"
"CON-08","Un experimento de detección de fraude quedó con métricas contadas de más y hay que corregirlo","DOC-014","warehouse_analitico","Describe filas duplicadas en la tabla de hechos tras un reproceso sin usar el termino tecnico 'duplicados' de forma literal ('contadas de mas').","WHERE d.categoria = 'warehouse_analitico'"
"CON-09","¿Qué reportes de calidad de datos siguen vigentes en este momento?","DOC-014|DOC-024|DOC-029","arquitectura_medallion","Consulta amplia que debe combinarse con filtros estructurados porque el tipo de documento y el estado son atributos, no contenido semantico.","WHERE d.categoria = 'arquitectura_medallion' AND d.activo = TRUE"
"CON-10","¿Qué se hace cuando los datos llegan con fechas y formatos que no coinciden entre archivos?","DOC-024","arquitectura_medallion","Describe el manejo de inconsistencias en Bronce sin mencionar 'Bronce' de forma prominente en la consulta.","WHERE d.categoria = 'arquitectura_medallion'"
