"documento_id","titulo","tipo_documento","categoria","subcategoria","fecha","equipo_id","dataset_id","modelo_id","experimento_id","componente","capa_medallion","nivel_confidencialidad","version","estado","activo","palabras_clave","contenido"
"DOC-001","Esquema hibrido de computo: criterios de asignacion on-premise y cloud","informe_tecnico","infraestructura_despliegue","hibrida","2026-01-14","EQ01","","","","","","interno","1.0","vigente","true","infraestructura hibrida|on-premise|cloud|escalabilidad","El equipo de Infraestructura y Plataforma (EQ01) documenta el esquema de despliegue vigente para la plataforma de experimentos. La organizacion no opera un unico centro de computo: combina un cluster propio, identificado como cluster-onprem-seguro, con capacidad elastica contratada bajo demanda, identificada como cluster-cloud-elastico.

El criterio de asignacion no es antiguedad ni comodidad, sino sensibilidad y variabilidad de la carga. Los datos de transacciones bancarias (DS05), bajo resguardo de Seguridad y Cumplimiento (EQ06), permanecen exclusivamente en el cluster propio: ningun proceso de entrenamiento ni transformacion puede moverlos fuera del perimetro fisico controlado por la organizacion. En cambio, los entrenamientos intensivos que Ciencia de Datos e IA (EQ03) ejecuta de forma irregular -picos de pocas horas seguidos de semanas sin uso- se resuelven contra la capacidad elastica externa, evitando mantener hardware propio ocioso la mayor parte del ano.

Este reparto no es una preferencia estetica: sostener toda la capacidad de computo dentro de la organizacion obligaria a dimensionar para el pico, no para el promedio, con el consiguiente costo fijo. Sostener todo afuera, en cambio, resultaria inaceptable para el dato bancario por motivos regulatorios y de auditoria.

El informe deja constancia de que ambos entornos comparten convenciones de nombrado, politicas de acceso y un mismo catalogo de metadatos administrado por Gobierno de Datos y Calidad (EQ04), de modo que un experimento pueda documentarse igual sin importar donde se ejecuto fisicamente."
"DOC-002","Consumo de computo cloud fuera de lo previsto tras un reentrenamiento extendido","registro_incidente","infraestructura_despliegue","cloud","2026-01-22","EQ03","DS07","MD06","EX10","cluster-cloud-elastico","","interno","1.0","vigente","true","costo cloud|computo elastico|entrenamiento intensivo|instancia sin apagar","El 21 de enero, Ciencia de Datos e IA (EQ03) puso en marcha una ronda extendida del experimento EX10 (Pronostico climatico, modelo MD06) sobre el dataset Clima historico regional (DS07), que habia crecido a 65.000 registros tras incorporar series de anos anteriores. Para acelerar el ajuste, el equipo solicito una instancia de computo de mayor capacidad en cluster-cloud-elastico y la dejo activa ""por si hacia falta reintentar"" durante el fin de semana.

El lunes siguiente, Infraestructura y Plataforma (EQ01) reporto un consumo de computo casi cuatro veces superior al promedio mensual habitual para ese componente. La instancia habia permanecido encendida sin carga real durante mas de 60 horas: el entrenamiento habia finalizado el viernes por la tarde, pero nadie libero el recurso.

El incidente no proviene de un error de datos ni de un fallo del modelo, sino de un supuesto operativo: se asumio que la facturacion era equivalente a la de infraestructura propia, donde un servidor encendido sin uso no genera un costo incremental visible. En un entorno elastico contratado por tiempo de uso, cada hora ociosa se paga igual que una hora con carga.

Se registra como antecedente para revisar politicas de apagado automatico y de alertas de consumo antes de autorizar nuevas rondas de entrenamiento sobre cluster-cloud-elastico."
"DOC-003","Decision: las transacciones bancarias permanecen exclusivamente on-premise","decision_arquitectura","infraestructura_despliegue","on_premise","2026-01-29","EQ06","DS05","MD02","","cluster-onprem-seguro","","restringido","1.0","vigente","true","datos sensibles|on-premise|transacciones bancarias|resguardo regulatorio","Seguridad y Cumplimiento (EQ06), en conjunto con Infraestructura y Plataforma (EQ01), formaliza la decision de arquitectura sobre el dataset Transacciones bancarias (DS05) y el modelo Detector de fraude (MD02): ningun fragmento de este dataset, ni las tablas intermedias derivadas de los experimentos EX06 y EX07, puede copiarse, replicarse ni procesarse fuera del cluster propio identificado como cluster-onprem-seguro.

La decision no responde a preferencia tecnica sino a una restriccion externa: el convenio con la entidad financiera que provee los datos exige que la informacion permanezca bajo control fisico directo de la organizacion, con auditoria de acceso y sin transito por redes de terceros, incluidos proveedores de nube publica.

Esto excluye explicitamente cualquier uso futuro de cluster-cloud-elastico para acelerar el entrenamiento de MD02, incluso si el volumen de transacciones (120.000 registros y creciendo) empezara a exigir tiempos de computo mayores. Si la capacidad on-premise resultara insuficiente, la alternativa aceptable es ampliar hardware propio, nunca migrar temporalmente a la nube.

Se deja constancia de que esta restriccion aplica al dato crudo y a cualquier representacion derivada que permita reconstruirlo, incluidos embeddings o fragmentos de texto que citen montos, cuentas o identificadores de clientes. Los informes agregados sin datos identificables si pueden circular por canales analiticos habituales, previa revision de EQ04."
"DOC-004","Minuta: se descarta la consolidacion total en un unico proveedor cloud","minuta_reunion","infraestructura_despliegue","hibrida","2026-02-05","EQ01","","","","","","interno","1.0","vigente","true","reunion|hibrido|cloud total|decision infraestructura","Minuta de reunion - Revision trimestral de infraestructura.
Fecha: 4 de febrero de 2026. Participantes: Infraestructura y Plataforma (EQ01), Ciencia de Datos e IA (EQ03), Gobierno de Datos y Calidad (EQ04).

Motivo: evaluar una propuesta externa para migrar toda la plataforma a un unico proveedor cloud, eliminando el cluster propio.

Puntos tratados:
1. El proveedor ofrecio una tarifa preferencial por consolidar todo el computo bajo su plataforma, incluyendo lo que hoy corre en cluster-onprem-seguro.
2. EQ06 no participo de la reunion pero habia fijado por escrito, en una decision previa, que el dataset de transacciones bancarias (DS05) no puede salir del perimetro propio bajo ninguna condicion comercial.
3. EQ03 senalo que buena parte de su carga es esporadica y se beneficia hoy de cluster-cloud-elastico, pero que otros experimentos con datasets grandes y estables (por ejemplo DS04, sensores industriales) tienen un costo mensual mas previsible corriendo on-premise.
4. EQ01 estimo que migrar toda la carga estable a cloud aumentaria el gasto recurrente entre 30% y 45% frente al esquema actual, sin ninguna ganancia de rendimiento relevante para cargas que no son elasticas por naturaleza.

Conclusion: se rechaza la propuesta de consolidacion total en cloud. Se mantiene el esquema hibrido vigente. Se solicita a EQ01 documentar formalmente los criterios de asignacion on-premise/cloud como referencia para futuras evaluaciones de proveedores."
"DOC-005","PostgreSQL gestionado vs. instancia propia para el warehouse analitico","evaluacion_alternativas","servicios_cloud","gestionado","2026-02-10","EQ01","","","","postgres-warehouse","","interno","1.0","vigente","true","base de datos gestionada|DBaaS|IaaS|extensiones","Infraestructura y Plataforma (EQ01) evalua dos caminos para el motor relacional que sostiene el warehouse analitico, hoy desplegado como postgres-warehouse sobre maquinas virtuales administradas por el propio equipo.

Alternativa A - continuar sobre IaaS propio: el equipo controla version exacta del motor, extensiones instaladas y ventanas de mantenimiento, pero tambien asume backups, parches de seguridad, monitoreo de espacio en disco y recuperacion ante fallas. En los ultimos seis meses, dos incidentes de espacio en disco lleno interrumpieron cargas nocturnas de Oro.

Alternativa B - migrar a un servicio de base de datos gestionado: el proveedor asume backups automaticos, alta disponibilidad y aplicacion de parches, a cambio de una tarifa mensual mas alta y de ceder control sobre algunas configuraciones de bajo nivel, incluida la instalacion de extensiones no soportadas oficialmente por el proveedor.

Este punto es determinante: la practica de la proxima clase depende de instalar una extension de busqueda vectorial sobre este mismo motor. Si el servicio gestionado elegido no soporta esa extension, la migracion quedaria bloqueada para ese caso de uso especifico, aun cuando resuelva los incidentes operativos actuales.

Recomendacion preliminar: sostener IaaS propio para el warehouse actual hasta confirmar soporte de extensiones no estandar en al menos un proveedor gestionado, y reevaluar en el proximo trimestre con esa informacion."
"DOC-006","Aclaracion de glosario: compatibilidad de API S3 no equivale a servicio gestionado","nota_implementacion","servicios_cloud","iaas","2026-02-12","EQ02","","","","minio-datalake","","interno","1.1","vigente","true","almacenamiento de objetos|PaaS|API S3|data lake","Nota de implementacion - Ingenieria de Datos (EQ02).

Se deja registro de una aclaracion conceptual que genero confusion en dos sesiones de onboarding recientes: el componente minio-datalake ofrece una interfaz compatible con la API de objetos S3, pero opera dentro de infraestructura administrada por el propio equipo, no como un servicio contratado a un proveedor externo.

Esto lo ubica funcionalmente mas cerca de un despliegue tipo IaaS que de un servicio de almacenamiento como PaaS completamente externalizado: el equipo sigue siendo responsable de la capacidad de disco subyacente, de la replicacion entre nodos y de la actualizacion de version del software. Lo unico que se abstrae hacia quien consume el almacenamiento es la forma de acceso (comandos y API compatibles con S3), no la operacion de la infraestructura de fondo.

La confusion practica surge porque, desde el punto de vista de quien sube o descarga un objeto Parquet de la capa Plata, la experiencia es indistinguible de usar un proveedor de nube publica. Se recomienda que la documentacion de onboarding distinga explicitamente ""compatibilidad de API"" de ""modelo de servicio"", para que los nuevos integrantes no asuman erroneamente que minio-datalake tiene las garantias operativas (SLA, redundancia geografica) propias de un servicio de almacenamiento gestionado por un tercero.

Esta nota no implica ningun cambio de comportamiento, unicamente actualiza el glosario interno de la plataforma."
"DOC-007","Recomendacion: evaluar servicio gestionado desde el diseno del repositorio documental","recomendacion_tecnica","servicios_cloud","gestionado","2026-02-18","EQ01","","","","postgres-pgvector-docs","","interno","1.0","borrador","true","repositorio documental|busqueda por similitud|servicio gestionado|nuevo componente","Recomendacion tecnica - Infraestructura y Plataforma (EQ01), con revision de Gobierno de Datos y Calidad (EQ04).

Con la incorporacion del nuevo repositorio documental de la plataforma, identificado como postgres-pgvector-docs, se recomienda evaluar desde el diseno inicial un servicio de base de datos gestionado, en lugar de repetir el esquema operativo actual de postgres-warehouse sobre maquinas administradas internamente.

La justificacion es distinta a la del warehouse existente: este componente nuevo almacenara documentos tecnicos, informes, minutas y sus fragmentos vectorizados, con una carga de lectura dominada por busquedas por similitud mas que por cargas analiticas masivas programadas. Un servicio gestionado que ya ofrezca soporte oficial para la extension de busqueda vectorial evitaria que el equipo deba mantener manualmente la compilacion e instalacion de esa extension en cada actualizacion de version del motor.

Se identifican dos riesgos a resolver antes de decidir: primero, confirmar que el proveedor gestionado elegido soporte los tipos de indice necesarios para escalar la busqueda por similitud a medida que crezcan los fragmentos; segundo, estimar el costo de transferencia si los documentos de origen siguen residiendo en minio-datalake y el nuevo componente vive en un proveedor distinto.

Se recomienda una prueba acotada con el conjunto de 30 documentos iniciales antes de comprometer una migracion de mayor escala."
"DOC-008","Los registros de nuevos experimentos se demoran durante la primera semana de cada mes","registro_incidente","oltp_olap","contencion_operativa","2026-02-20","EQ05","","","EX09","postgres-warehouse","","interno","1.0","vigente","true","lentitud|registro de experimentos|reporte mensual|consumo de cpu","Ciencia de Datos e IA (EQ03) reporto que, durante la primera semana de cada mes, el registro de nuevos experimentos tarda entre cinco y ocho veces mas de lo habitual, al punto de que algunas cargas del experimento EX09 (Clasificador de tickets, segunda ronda) llegaron a expirar por tiempo de espera.

Al investigar en conjunto con Analitica de Negocio (EQ05), se identifico que ese mismo periodo coincide con la generacion del reporte mensual de indicadores comerciales, que Analitica de Negocio construye ejecutando consultas de agregacion pesadas -sumas y promedios sobre meses de historial- directamente contra la misma base donde la plataforma registra usuarios, datasets, modelos y experimentos en tiempo real.

Mientras el reporte corre, esas consultas de agregacion consumen buena parte de la capacidad de procesamiento disponible y bloquean recursos que la aplicacion necesita para insertar nuevas filas de experimentos y metricas a medida que se generan. El sintoma no es un error de la aplicacion ni un dato corrupto: es contencion de recursos entre dos tipos de trabajo muy distintos que hoy comparten el mismo motor y las mismas tablas.

Se registra el incidente para analisis posterior, dado que el problema es recurrente y previsible -ocurre el mismo dia del mes- y no depende de un evento excepcional ni de un pico de trafico externo."
"DOC-009","Analisis de causa raiz: contencion de recursos entre el reporte mensual y el registro operativo","analisis_resultados","oltp_olap","contencion_operativa","2026-02-25","EQ01","","","","postgres-warehouse","","interno","1.0","vigente","true","causa raiz|bloqueo de recursos|latencia|cargas concurrentes","Infraestructura y Plataforma (EQ01) realizo un analisis de causa raiz sobre el incidente reportado por Ciencia de Datos e IA a fines de febrero.

Se revisaron los registros de bloqueos y tiempos de espera del motor durante las tres ultimas ejecuciones del reporte mensual de Analitica de Negocio. En los tres casos, el tiempo promedio de insercion de una fila de experimento paso de 40 milisegundos a mas de 2 segundos mientras el reporte estaba en ejecucion, con picos superiores a 9 segundos coincidentes con las consultas de agregacion mas pesadas del reporte.

La causa no es un problema de diseno de tablas ni de indices faltantes: es estructural. Un mismo motor atiende, por un lado, transacciones cortas y frecuentes de alta prioridad (alta de usuarios, datasets, experimentos, metricas, una por vez) y, por otro, consultas largas que recorren y agregan meses de historial en una sola ejecucion. Ambos tipos de trabajo compiten por el mismo bloqueo de tablas y la misma capacidad de procesamiento, y no hay forma de aislarlos sin separar donde corre cada uno.

El analisis concluye que el problema no se resuelve optimizando indices ni reescribiendo el reporte: seguiria compitiendo por los mismos recursos. Se recomienda evaluar una separacion fisica entre el motor que sostiene el registro operativo en tiempo real y el destino donde corren las consultas analiticas de gran volumen, y elevar la conclusion como insumo para una decision de arquitectura."
"DOC-010","Decision: separar formalmente las cargas transaccionales de las analiticas","decision_arquitectura","oltp_olap","separacion_cargas","2026-03-02","EQ01","","","","postgres-warehouse","","interno","1.0","vigente","true","OLTP|OLAP|separacion de cargas|warehouse analitico","Infraestructura y Plataforma (EQ01) e Ingenieria de Datos (EQ02) formalizan la decision derivada del analisis de causa raiz del incidente de contencion de recursos.

Se decide separar formalmente la carga transaccional (OLTP) -alta de usuarios, datasets, modelos, experimentos y metricas en tiempo real- de la carga analitica (OLAP) -agregaciones historicas usadas por reportes e indicadores-. La base operativa continua sirviendo exclusivamente a la aplicacion de registro; el reporte mensual de Analitica de Negocio y cualquier consulta de agregacion equivalente deben ejecutarse exclusivamente contra el warehouse analitico (postgres-warehouse), alimentado por un proceso de carga periodico y no por acceso directo a las tablas operativas.

Esta decision no introduce un componente nuevo: reafirma un limite que ya existia en el diseno de capas Bronce/Plata/Oro, pero que se habia desdibujado porque, en la practica, algunos reportes recientes se habian conectado directamente contra la base operativa por comodidad, saltandose el warehouse.

Se establece como regla general: ningun proceso de reporting o analitica se conecta directamente a la base operativa. Toda consulta agregada o historica debe resolverse contra Oro. Se solicita a Analitica de Negocio migrar el reporte mensual a esa fuente antes del cierre del proximo mes, y a Gobierno de Datos y Calidad incorporar esta regla al catalogo de politicas de acceso."
